,Ind,Pri_GDR2,Cmp_GDR2,Pri,Cmp,GLON,GLAT,Vmag,f_Vmag,SpType,pml,pmb,dpml,e_dpml,dpmb,e_dpmb,Dis,e_Dis,Rvel,dRVel,e_dRVel,Mass,dR,Prob,Comm,RAdeg_y,DEdeg_y,e_RAdeg_y,e_DEdeg_y,Plx_y,pmRA_y,pmDE_y,e_Plx_y,e_pmRA_y,e_pmDE_y,Hpmag_y,e_Hpmag_y,B-V_y,e_B-V_y,V-I_y,angular_distance_y,ra_y,ra_error_y,dec_y,dec_error_y,parallax_y,parallax_error_y,pmra_y,pmra_error_y,pmdec_y,pmdec_error_y,phot_g_mean_mag_y,phot_bp_mean_mag_y,phot_rp_mean_mag_y,radial_velocity_y,radial_velocity_error_y,RAdeg_x,DEdeg_x,e_RAdeg_x,e_DEdeg_x,Plx_x,pmRA_x,pmDE_x,e_Plx_x,e_pmRA_x,e_pmDE_x,Hpmag_x,e_Hpmag_x,B-V_x,e_B-V_x,V-I_x,angular_distance_x,ra_x,ra_error_x,dec_x,dec_error_x,parallax_x,parallax_error_x,pmra_x,pmra_error_x,pmdec_x,pmdec_error_x,phot_g_mean_mag_x,phot_bp_mean_mag_x,phot_rp_mean_mag_x,radial_velocity_x,radial_velocity_error_x,dpmra_HIP,dpmra_HIP_err,dpmde_HIP,dpmde_HIP_err,cos_angsep_HIP,dcos_angsep_HIP,proy_sep_HIP,proy_sep_error_HIP,rel_vel_HIP,rel_vel_HIP_err,distance_x,distance_error_x,distance_y,distance_error_y,dpmra_GDR2,dpmra_GDR2_err,dpmde_GDR2,dpmde_GDR2_err,del_pmra_GDR2,del_pmra_GDR2_err,del_pmde_GDR2,del_pmde_GDR2_err,cos_angsep_GDR2,dcos_angsep_GDR2,ang_sep_GDR2,ang_sep_GDR2_err,proy_sep_GDR2,proy_sep_error_GDR2,rel_vel_GDR2,rel_vel_GDR2_err,U,V,W,pmra_corr,pmde_corr,rvel_corr,U1,V1,W1,pmra_corr1,pmde_corr1,rvel_corr1,U2,V2,W2,pmra_corr2,pmde_corr2,rvel_corr2,dvel_ra,dvel_ra_err,dvel_dec,dvel_dec_err
9,16,4722135642226356736,4722111590409480064,15371,15330,279.1,-47.2,5.53,, G4V;BiN,-1343.9,638.9,5.2,4.6,-0.6,2.4,12.0,0.0,12.1,-0.6,0.2,0.86,0.018,1.0, {zeta}^01^ Ret,49.43528798,-62.57689893,0.49,0.48,83.28,1337.57,649.12,0.2,0.21,0.21,5.6405,0.0005,0.6409999999999999,0.006999999999999999,0.72,0.0020252483853553825,49.45485101597959,0.0704780706069438,-62.57252282841514,0.07518766167789794,83.06254972342687,0.07388079965879835,1337.5907579621569,0.1421973013508746,649.9297619612582,0.15364773517033284,5.3055005,5.694394,4.8665385,12.212371921799893,0.1716975786312597,49.54640411,-62.50793537,0.48,0.47,83.11,1330.74,647.11,0.19,0.21,0.19,5.3533,0.0005,0.6,0.009000000000000001,0.67,0.021846602740287255,49.56582569172126,0.16313483269143367,-62.50357416977396,0.206014057199672,83.01215189938092,0.1888264831321888,1331.15051022417,0.3551165812194357,648.5234299794962,0.43068883759114107,5.0193624,5.4051313,4.610425,12.013623770632265,0.32024967117394143,6.829999999999927,0.42,2.009999999999991,0.4,0.9999988758147229,3.770812972348932e-09,0.01802341869403083,0.00011471324457868072,0.23726403001398855,0.40770924116919866,12.046429072361605,0.027401829539276903,12.039119956342505,0.010708313343671888,6.440247737986965,0.4973138825703103,1.4063319817620368,0.5843365727614739,6.440247737986965,0.4973138825703103,1.4063319817620368,0.5843365727614739,0.99999887702798,1.1162014483091895e-09,0.08586617923543546,4.267424737754122e-05,0.01804787275712228,6.608319635190084e-05,0.32684105519998974,0.29183789652505004,-32.952643009515604,78.52124016369191,6.44028136715832,-2.1088135310196776,1.644368857159975,0.11241692250448665,-32.946852419845186,78.90825120450093,6.244283018529432,2.121553048936221,-1.6433864312167543,-0.11284696941368111,-36.55002967528313,74.29942958471015,17.096841821378824,-1.9205546480261546,1.8975471864360998,12.126027202173397,0.20116273978536015,0.2696938165641089,0.15181310532467762,0.15050241264565306
11,17,43335880716390784,43335537119008896,17414,17405,171.7,-29.5,10.83,, M1;UnK,334.6,-112.2,23.5,18.9,-10.8,7.0,16.7,0.7,22.5,15.3,14.1,0.45,0.0092,1.0,,55.93813416,16.66802202,2.09,1.32,59.92,157.51,-318.95,2.39,3.07,3.13,10.8428,0.0069,1.47,0.04,2.01,0.006045430729386307,55.9392323792583,0.040943794173222206,16.665933301572412,0.028062907473444344,58.0070385849691,0.04570914101283851,156.2147192429752,0.08883895695895415,-310.2912499130825,0.0642920677597012,9.917213,11.038033,8.900257,34.218096171651474,1.0833929391218966,55.96861637,16.67279765,1.68,1.08,56.46,157.7,-317.9,1.92,2.41,2.45,10.0042,0.0032,1.42,0.015,1.76,0.0004915754581525404,55.969727317338496,0.03955659112141971,16.670667262822366,0.02268961639646078,58.109739399682034,0.040165156707072484,157.94518741851266,0.08629843308095292,-316.32593743308763,0.05205618200401005,9.214379,10.16657,8.285777000000001,34.18343971688549,0.148887495531108,-0.18999999999999773,5.48,-1.0500000000000114,5.58,0.99999986665237,6.404020677623444e-09,0.00888266589575873,0.0008681080602876872,1.654814529435274,1.9463403393109469,17.208819215690234,0.011894648430408562,17.239287238137372,0.013584437863942856,-1.7304681755374531,0.17513739003990708,6.03468752000515,0.11634824976371125,-1.7304681755374531,0.17513739003990708,6.03468752000515,0.11634824976371125,0.9999998666013744,1.3542622964272332e-10,0.029594657116002697,1.5022242178005783e-05,0.008896640347049544,1.7676497518366455e-05,0.463297887533769,0.03592343564425546,11.791305677797094,40.482950423527065,-14.91193844497577,0.017663934537836212,-0.6177127306055468,0.004442728652342964,11.85713452947762,40.33042544980097,-14.47667533463673,-0.015215589368096971,0.6078997254444403,-0.004407952117752245,-6.534753599079983,13.34439121126862,-24.71814597597745,0.23095609439144482,-0.5831327558173598,34.187877885513956,0.11725694897008232,0.03329107241714237,0.39740270024726243,0.02830490333322625
18,21,3285218186904332288,3285218255623808640,19859,19855,186.7,-30.5,6.94,, G5IV;F/E,29.4,-149.6,-10.1,1.8,-4.9,3.2,21.1,0.3,-7.7,0.2,0.2,0.87,0.0066,1.0,,63.85769567,6.1999255,0.9,0.77,47.49,-102.64,-113.3,0.68,0.66,0.59,7.0753,0.0013,0.68,0.01,0.74,0.0025861966766547945,63.857005742490045,0.03739414480790045,6.199170431005572,0.027225254008992054,45.24042997285278,0.04489834784871418,-101.7627526020219,0.07970462926959605,-111.98207222306448,0.05451128139304978,6.7627429999999995,7.1410837,6.273171400000001,-7.933872485174961,0.15533469800043545,63.8702703,6.18712133,0.86,0.71,46.88,-109.46,-108.25,0.47,0.48,0.43,6.4375,0.0013,0.57,0.01,0.64,0.003029082202355001,63.869526982113655,0.04427853846183026,6.186398806400143,0.0370328981920479,45.27579595276245,0.0541741659174168,-109.6997628914402,0.09468730053173068,-107.36793764399289,0.07914919256871672,6.158471,6.4802029999999995,5.733131,-7.213879401966007,0.14667805382948965,6.819999999999993,1.1400000000000001,-5.049999999999997,1.02,0.9999999512265448,1.5410445463270692e-09,0.006619435365314963,0.00026553623008714966,0.9003599949298733,0.1996043339639675,22.086856320390897,0.026427741218362766,22.104122365770294,0.021936983699412802,7.937010289418296,0.17439192980132673,-4.614134579071589,0.1336604739617665,7.937010289418296,0.17439192980132673,-4.614134579071589,0.1336604739617665,0.9999999515549564,6.690517918482479e-11,0.017834556242473005,1.2315234964064095e-05,0.006877701100362722,1.9803806711253208e-05,0.9594839695408285,0.01090676190269326,7.685720788598287,-10.409379040743895,-11.95246524508416,-0.07325912804408574,-0.09663097972956791,1.0127165464446364e-05,6.6542011235140635,-10.641054645880669,-12.52089006131292,0.06572908198046434,0.10203175180781443,-0.0002991863351775592,10.844332263098398,-3.970521107100521,-11.175073394327123,-0.08821822841801463,-0.08128354573996432,-7.2138689253238395,0.8156654374910879,0.006055527912134061,0.5027892750430656,0.011093897853103354
20,22,4763906879239461632,4763897739549071744,23693,23708,266.1,-36.7,8.98,, K7Vk;UnK,-116.4,-46.5,2.8,2.2,1.6,1.9,11.7,0.1,-29.2,28.4,10.0,0.53,0.0182,1.0,,76.44753216,-57.55412256,0.78,0.86,85.77,-31.19,118.48,0.89,0.91,0.99,9.0206,0.0025,1.386,0.012,1.64,0.0034607134370623852,76.44712171102549,0.023526657927240662,-57.55331752425887,0.027927761080773217,85.48523000140374,0.025356959745001663,-32.783844434238546,0.049248142203763175,119.6334445214413,0.0537138843007445,8.285497,9.178849000000001,7.3882504,-0.8769311165617859,0.16309992048396965,76.37787652,-57.47298928,0.42,0.43,85.87,-30.97,117.22,0.18,0.19,0.19,4.8191,0.0008,0.526,0.011000000000000001,0.6,0.007783781473527927,76.37747671785174,0.13798738211681166,-57.47219693799585,0.14677358101605367,86.02385598448367,0.15158051400094055,-32.14034173401961,0.27598888830298995,117.4166969975424,0.3096572664984243,4.5119762,4.850398,4.1759319999999995,-1.1451194412798809,0.22226977723739172,-0.22000000000000242,1.1,1.2600000000000051,1.18,0.9999987842312512,5.668923253034343e-09,0.0181698826696395,0.00026907815324267215,0.0785331787176553,0.15152383167402114,11.624682346027042,0.020483565924157923,11.697927232383643,0.0034698844458468433,-0.6435027002189386,0.3252370305067531,2.2167475238989027,0.3633711507991688,-0.6435027002189386,0.3252370305067531,2.2167475238989027,0.3633711507991688,0.9999987846007798,7.677323559094013e-10,0.08932996234132574,2.8213575916447835e-05,0.018181161352825076,4.30881232744361e-05,0.17040083815679424,0.03607966653632468,2.8608760647822957,4.2858891245130835,4.444341190581319,-0.0951824596383517,0.7973611572644046,0.010315752883640616,2.968761051921748,4.558660982789971,4.298980058349746,0.0934286801748101,-0.8099518007724953,-0.010578750783864166,3.005897912095304,4.884308212077267,3.478855926976577,-0.08168419806710148,0.768128452988492,-1.1348022966189641,0.052130500564283366,0.014300144755616636,0.20779934871552985,0.03336084368135387
22,25,3400292798990117888,3394298532176344960,25278,25220,187.1,-10.5,7.93,, K2;BiN,139.7,209.7,6.1,3.1,3.5,4.4,14.1,0.3,37.9,-0.2,0.1,0.65,0.0493,1.0,,80.90927585,17.32413076,1.31,0.7,71.0,253.93,-5.22,1.34,1.02,0.59,8.0588,0.0013,1.104,0.001,1.18,0.002809949383422707,80.91104657791804,0.05067249428260728,17.324092292102858,0.04238122750827893,68.65947773941132,0.05297877892895424,250.9998384593589,0.0921146329514938,-5.777972632156062,0.06760958917719417,7.536028999999999,8.171707000000001,6.812475,37.939595062010824,0.13361553682725014,81.10545973,17.38355205,0.86,0.57,69.51,251.05,-7.99,0.38,0.38,0.21,5.1149,0.0013,0.544,0.004,0.62,0.011393601030809134,81.10722709354131,0.15820370104972134,17.38350429150057,0.12305110986462987,68.56277931766506,0.1742053877214031,250.76471341786782,0.31554110438196825,-7.331805877222585,0.20869149147183147,4.808277599999999,5.145876,4.44255,37.66873176796829,0.2387470585636319,2.8799999999999955,1.4,2.7700000000000005,0.7999999999999999,0.9999941216727362,3.5386163854416754e-09,0.04881052502845659,0.0011958042986561193,0.2580003303454015,0.36277286878649,14.585173033415115,0.03705823696991229,14.564631612774251,0.011238308588996283,0.23512504149107372,0.40765573733346205,1.5538332450665235,0.27630108064902564,0.23512504149107372,0.40765573733346205,1.5538332450665235,0.27630108064902564,0.9999941220215474,4.598580291195413e-10,0.19644991164887696,7.684543114721246e-06,0.04997291066619708,0.00016754896857730644,0.10839077948120764,0.023938975334405654,-11.547404282272652,38.34570541859817,10.770413992118737,-2.1426306468383416,-0.8124013405219586,0.056363168615533255,-11.37043193481649,38.61831243084535,10.916718030251593,2.154649469301688,0.8163979116668951,-0.05598410511342422,-17.10449434209263,2.8295615316132428,-0.48372420114938436,-0.35970811234113853,-0.2457032751117163,37.724873520590144,0.15645082659574783,0.0860455602778852,0.05186658516285192,0.017657856490888576
24,28,3395863205942142976,3347826784173590656,26690,26844,191.2,-7.8,10.72,, K7;UnK,79.0,45.5,6.4,63.6,10.7,53.7,21.4,1.0,,,,0.27,0.1642,1.0,,85.49507883,15.33733032,2.11,1.42,46.83,79.22,-43.03,2.26,2.61,1.74,10.6739,0.006999999999999999,1.689,0.14300000000000002,2.84,0.003363738600118828,85.49563266000216,0.04208166554192168,15.337041044782012,0.03875341571409622,44.597128989242236,0.050482611708054376,79.11522199830219,0.08702762617583748,-43.07081982016537,0.06784690527681468,9.867197,10.8304615,8.930638,,,85.07562966,15.35039994,15.77,9.98,43.01,86.06,-40.58,28.39,39.07,18.45,8.4294,0.0316,0.44799999999999995,0.02,0.46,0.04585386033871615,85.07565767937841,0.0555865465275562,15.350146241576304,0.052103039505399185,5.954032428706883,0.07478618594848034,2.5511143208150058,0.09954276697821936,-36.05817349487491,0.08000466516980907,8.308907000000001,8.536175,7.9877720000000005,,,-6.840000000000003,41.68,-2.450000000000003,20.189999999999998,0.9999750535580262,2.8796677400719518e-08,0.15753079012639892,0.11577417703275679,1.4719386703079818,11.267629162656158,167.95340166079401,2.1095945441486115,22.42296808481149,0.025382126984916206,76.56410767748719,0.18657039315405682,-7.012646325290461,0.14785157044662375,76.56410767748719,0.18657039315405682,-7.012646325290461,0.14785157044662375,0.9999749908331508,2.2802394253796347e-10,0.40521745755390426,1.8473159852838299e-06,0.673205499658422,0.01510240133745106,24.97898232429663,0.31690023048156285,-1.3711489643541028,7.745226711550936,-27.681829705985606,-16.032772805880363,234.06271359758625,,-8.287688533178045,1.8674483800665138,-4.4147463666562725,68.54191535344293,-37.34106621923377,,-1.3711489643541028,7.745226711550936,-27.681829705985606,-16.032772805880363,234.06271359758625,,6.391541186445943,0.2840955429629425,210.65229168092935,2.6376894276163223
26,29,263916708025623680,263916742385357056,26779,26801,158.4,12.0,9.78,, M0.5;OtH,449.8,-256.3,0.2,10.1,2.2,5.9,12.4,0.3,1.1,-0.2,1.3,0.45,0.0058,1.0,,85.37802824,53.49105798,1.33,0.89,80.4,1.13,-517.75,1.69,1.65,1.07,9.7993,0.0027,1.473,0.011000000000000001,1.91,0.003770290692639101,85.37807248493162,0.04626843546427587,53.48758139424407,0.047166093621333116,81.4466792532227,0.0513759279133472,3.914917087953192,0.07797859377164794,-515.9384493211803,0.07778370633829562,8.911996,9.982871000000001,7.915076299999999,1.9169841005398216,0.2702936281984442,85.33472092,53.48233045,0.66,0.47,81.45,1.82,-523.99,0.54,0.48,0.31,6.354,0.0006,0.84,0.006,0.88,0.0027447133938917146,85.33475234190108,0.04367820514480785,53.47880410723052,0.04142511995493881,81.42995564727909,0.04871573694936671,2.78367667207225,0.07463481921751246,-523.6021067273426,0.07201314971724514,5.9764776,6.4293556,5.418853299999999,1.0672175901058123,0.1769612595195155,-0.6900000000000002,2.13,6.240000000000009,1.3800000000000001,0.9999998872651747,6.308838482722289e-09,0.005867858283366523,0.0003269803402029248,0.049700787721564645,0.5675124913674348,12.280492996110507,0.00734684504801213,12.277971418465558,0.007744848289714212,1.1312404158809417,0.1526134129891604,7.663657406162315,0.14979685605554077,1.1312404158809417,0.1526134129891604,7.663657406162315,0.14979685605554077,0.9999998870559099,4.109176706329142e-10,0.027231363648992563,4.9537114875806516e-05,0.0058360360442175985,1.778918296253675e-05,0.45743267619809935,0.02949893777358605,1.882331987882835,25.058799637794426,-17.280794391296144,0.3258930978593715,0.11193014325351669,0.004600491784149119,1.8094614534455007,25.20980514539652,-16.32486748975169,-0.3274722355798416,-0.11346771218188678,-0.004492977226284278,1.8306749272545968,24.425781197128668,-18.138449675484146,0.31764184571139964,0.10912343078064168,1.0718179613540444,0.0848476223533243,0.0091200318107686,0.45918776410390194,0.02848486127727648
73,65,6060965699625586176,6092573252981419776,62229,69570,316.9,12.5,8.23,, G5V;OtH,-136.5,-80.9,0.9,4.5,-0.5,3.3,35.4,1.1,-24.5,32.8,0.5,0.83,5.8017,0.97,,213.60381501,-48.14634043,0.67,0.69,28.21,-104.57,-121.47,0.9,0.77,0.7,8.3611,0.0015,0.67,0.002,0.73,0.00266949904170056,213.6027838480213,0.03740376699940416,-48.14716188401389,0.04532284756068206,26.42561851866689,0.06097067576596705,-102.218407879692,0.0953696382039776,-121.89689239716131,0.12036727456705094,8.045996,8.40895,7.549169999999999,-23.92053893686397,0.132853029683921,191.31096071,-57.35768284,0.57,0.54,48.79,-200.58,-130.26,0.88,0.61,0.51,7.9593,0.0013,0.937,0.002,0.98,0.005145605055068923,191.30845002234818,0.028123131158129998,-57.35856747067686,0.02805822478033803,50.485520248551644,0.04499976818587332,-201.0325573534496,0.05189844516977058,-131.54770514836534,0.04588414802446529,7.528038499999999,8.068054,6.9230886,14.756302142547831,0.15684957676474734,96.01000000000002,1.38,8.789999999999992,1.21,0.9602046563474322,6.356565709578588e-09,7.891470779899589,0.42334931358694355,7.995474214151872,0.8657298565702326,19.807659603719515,0.01765536110321923,37.84206599719156,0.08731134654801975,98.8141494737576,0.1472680833737482,9.650812751204029,0.16625142259151623,98.8141494737576,0.1472680833737482,9.650812751204029,0.16625142259151623,0.9602020333561292,3.7387614357757913e-10,16.218811802770542,7.669543717097029e-08,8.132286838937965,0.029614034319708972,9.537780818459032,0.037637761945165674,-1.3076369365821865,18.986805434787495,-19.08749769430204,-108.83451565011299,-21.43406103987361,6.823166366961203,16.710721420313945,33.11741328080331,3.228841958380837,208.76435963118615,64.7619640097069,-8.860471548038358,6.497092189129486,20.547541246610702,-6.661767940194148,-125.66807478051058,-37.07384153380494,20.99219768905304,9.687342890993689,0.028065083265792993,11.536676770244195,0.0337943294461869
77,73,1254695603704323712,1254694882149817728,70529,70536,28.8,68.4,9.98,, M0.5;BiN,-887.4,-1047.0,-16.2,33.1,-19.8,39.1,16.0,0.5,5.6,7.9,2.8,0.47,0.0036,1.0,,216.44227875,23.62319461,1.33,1.16,62.31,794.93,-1118.9,1.77,1.76,1.32,10.052999999999999,0.0024,1.452,0.008,1.82,0.001193863648138325,216.44811293295365,0.032205133385424384,23.61565719517289,0.049336427914999405,61.202876364167274,0.054282217889248,793.4874618415349,0.08516601420161088,-1119.0100570054146,0.09454730937785526,9.199808,10.228507,8.222786,,,216.42904283,23.61979409,1.27,1.1,61.11,792.44,-1113.72,1.41,1.4,1.05,9.8079,0.0033,1.419,0.006999999999999999,1.72,0.004869205556532735,216.43486964595752,0.0325640254518777,23.6122739296525,0.04938430081992759,61.1782615686171,0.05418389515393508,792.5480677673526,0.09222581116418682,-1116.6007102154454,0.11139595914032904,9.006602,9.98178,8.055567,8.778993492895296,0.20718426272766036,2.4899999999998954,3.16,-5.180000000000064,2.37,0.9999999758399388,8.047351041110134e-09,0.0035624561230739264,0.0007765088715234947,1.614069954498911,5.417491948463819,16.345675316033738,0.014476912792804237,16.339101352848747,0.01449151922979086,0.9393940741823599,0.1773918253657977,-2.409346789969277,0.20594326851818429,0.9393940741823599,0.1773918253657977,-2.409346789969277,0.20594326851818429,0.9999999758302491,3.5140694866155005e-10,0.012597191111139168,9.157604749137873e-05,0.0035930777170027554,3.24891678079529e-05,0.1593703828700413,0.1682806128140391,2.118748565973789,-74.76030272147304,-75.7530695524193,-0.1914316136940215,0.5293596802036973,-0.007895005381506337,8.582443172426778,-70.05848680697196,-79.40649857199757,0.2155767651424867,-0.5234870990827858,,8.590399417475933,-69.98290805444543,-79.26945437208931,-0.21543862696955784,0.52266731630084,8.771098275327699,0.03325500794903746,0.1227531375609363,0.11088804704735367,0.13769172215373507
83,80,1642641410934267008,1642642957122493824,79755,79762,99.9,39.5,10.69,, M3;BiN,290.6,389.7,-1.2,6.0,15.9,8.0,10.7,0.2,-24.0,3.3,5.2,0.41,0.0033,1.0,,244.191849,67.25602668,1.27,1.32,93.09,-483.02,91.51,1.48,1.67,1.84,10.7253,0.0044,1.5,0.008,2.07,0.001824304638267373,244.18343117344804,0.039617713460572586,67.25662827979252,0.03562732292523893,92.89762497186736,0.041006872668537496,-483.1676487607573,0.06620283475523835,89.26611882464506,0.07199698530725993,9.608552,10.977083,8.487094,,,244.18123674,67.23863768,1.11,1.12,93.57,-498.28,86.05,0.95,0.99,1.04,8.6599,0.0027,1.409,0.01,1.69,0.00398786221016215,244.17256859264683,0.029944772642370325,67.23920409595127,0.026714621237472768,92.87042804171,0.031104005565159024,-498.01781304591935,0.04975462344526006,84.11035718775544,0.052824641252636785,7.9005194,8.819902,6.979792,-19.855364223884106,0.19066334306829366,15.259999999999991,2.66,5.460000000000008,2.88,0.9999999513795773,8.438454943995411e-09,0.003341226897805643,0.00037704111257208094,0.7138848820095717,0.5764762765906446,10.767690222671092,0.0036062964677997544,10.764537848011022,0.0047516826506890575,14.850164285162066,0.11595745820049841,5.155761636889622,0.1248216265598967,14.850164285162066,0.11595745820049841,5.155761636889622,0.1248216265598967,0.9999999510706834,2.1560903946355844e-10,0.01792347469330713,3.9490263339082856e-05,0.0033678950406255603,1.003495727924806e-05,0.8094256263316464,0.015944850912420924,-17.807981409045325,21.55135837897088,-16.64833319891855,0.10258302369220473,-0.2300667216182859,0.0005565337558515182,-20.363239834947247,14.517527639067923,1.7608689451051727,-0.12585869158374408,0.11058393735703476,,-21.154623042320225,14.636947815686936,1.6608558820832455,0.13112579182342188,-0.11172857167774453,-19.85480671861885,0.7710754081485263,0.0134918011136984,0.2502902413254233,0.009830647426744565
